number,latitude,longitude,time
1.000000,50.982657,3.777864,-
2.000000,50.982658,3.777864,-
3.000000,50.982658,3.777864,-
4.000000,50.982658,3.777864,-
5.000000,50.982658,3.777864,-
6.000000,50.982658,3.777864,-
7.000000,50.982658,3.777864,-
8.000000,50.982659,3.777864,-
9.000000,50.982659,3.777864,-
10.000000,50.982659,3.777864,-
11.000000,50.982659,3.777864,-
12.000000,50.982659,3.777864,-
13.000000,50.982659,3.777864,-
14.000000,50.982659,3.777864,-
15.000000,50.982660,3.777864,-
16.000000,50.982660,3.777864,-
17.000000,50.982660,3.777864,-
18.000000,50.982660,3.777864,-
19.000000,50.982660,3.777864,-
20.000000,50.982660,3.777864,-
21.000000,50.982661,3.777864,-
22.000000,50.982661,3.777863,-
23.000000,50.982661,3.777863,-
24.000000,50.982661,3.777863,-
25.000000,50.982661,3.777863,-
26.000000,50.982661,3.777863,-
27.000000,50.982661,3.777863,-
28.000000,50.982662,3.777863,-
29.000000,50.982662,3.777863,-
30.000000,50.982662,3.777863,-
31.000000,50.982662,3.777863,-
32.000000,50.982662,3.777862,-
33.000000,50.982662,3.777862,-
34.000000,50.982662,3.777862,-
35.000000,50.982663,3.777862,-
36.000000,50.982663,3.777862,-
37.000000,50.982663,3.777862,-
38.000000,50.982663,3.777862,-
39.000000,50.982663,3.777861,-
40.000000,50.982663,3.777861,-
41.000000,50.982663,3.777861,-
42.000000,50.982663,3.777861,-
43.000000,50.982664,3.777861,-
44.000000,50.982664,3.777861,-
45.000000,50.982664,3.777860,-
46.000000,50.982664,3.777860,-
47.000000,50.982664,3.777860,-
48.000000,50.982664,3.777860,-
49.000000,50.982664,3.777860,-
50.000000,50.982664,3.777860,-
51.000000,50.982664,3.777859,-
52.000000,50.982664,3.777859,-
53.000000,50.982665,3.777859,-
54.000000,50.982665,3.777859,-
55.000000,50.982665,3.777859,-
56.000000,50.982665,3.777858,-
57.000000,50.982665,3.777858,-
58.000000,50.982665,3.777858,-
59.000000,50.982665,3.777858,-
60.000000,50.982665,3.777858,-
61.000000,50.982665,3.777857,-
62.000000,50.982665,3.777857,-
63.000000,50.982665,3.777857,-
64.000000,50.982666,3.777857,-
65.000000,50.982666,3.777856,-
66.000000,50.982666,3.777856,-
67.000000,50.982666,3.777856,-
68.000000,50.982666,3.777856,-
69.000000,50.982666,3.777856,-
70.000000,50.982666,3.777855,-
71.000000,50.982666,3.777855,-
72.000000,50.982666,3.777855,-
73.000000,50.982666,3.777855,-
74.000000,50.982666,3.777854,-
75.000000,50.982666,3.777854,-
76.000000,50.982666,3.777854,-
77.000000,50.982666,3.777854,-
78.000000,50.982666,3.777853,-
79.000000,50.982666,3.777853,-
80.000000,50.982666,3.777853,-
81.000000,50.982666,3.777853,-
82.000000,50.982666,3.777852,-
83.000000,50.982666,3.777852,-
84.000000,50.982666,3.777852,-
85.000000,50.982666,3.777852,-
86.000000,50.982667,3.777852,-
87.000000,50.982667,3.777851,-
88.000000,50.982667,3.777851,-
89.000000,50.982667,3.777851,-
90.000000,50.982667,3.777851,-
91.000000,50.982667,3.777850,-
