number,latitude,longitude,time
1,50.982675295,3.777705682,op een zeker tijdstip...
2,50.982675059,3.777705871,op een zeker tijdstip...
3,50.982674898,3.777706035,op een zeker tijdstip...
4,50.982674740,3.777706294,op een zeker tijdstip...
5,50.982674570,3.777706501,op een zeker tijdstip...
6,50.982674385,3.777706717,op een zeker tijdstip...
7,50.982674251,3.777706995,op een zeker tijdstip...
8,50.982674147,3.777707259,op een zeker tijdstip...
9,50.982674053,3.777707574,op een zeker tijdstip...
10,50.982673954,3.777707888,op een zeker tijdstip...
11,50.982673808,3.777708160,op een zeker tijdstip...
12,50.982673644,3.777708451,op een zeker tijdstip...
13,50.982673439,3.777708684,op een zeker tijdstip...
14,50.982673218,3.777708986,op een zeker tijdstip...
15,50.982672970,3.777709310,op een zeker tijdstip...
16,50.982672690,3.777709618,op een zeker tijdstip...
17,50.982672462,3.777709872,op een zeker tijdstip...
18,50.982672213,3.777710158,op een zeker tijdstip...
19,50.982671889,3.777710628,op een zeker tijdstip...
20,50.982671608,3.777710972,op een zeker tijdstip...
21,50.982671369,3.777711227,op een zeker tijdstip...
22,50.982671111,3.777711534,op een zeker tijdstip...
23,50.982670877,3.777711795,op een zeker tijdstip...
24,50.982670538,3.777712074,op een zeker tijdstip...
25,50.982670225,3.777712321,op een zeker tijdstip...
26,50.982669937,3.777712579,op een zeker tijdstip...
27,50.982669629,3.777712968,op een zeker tijdstip...
28,50.982669385,3.777713292,op een zeker tijdstip...
29,50.982669133,3.777713630,op een zeker tijdstip...
30,50.982668794,3.777713980,op een zeker tijdstip...
31,50.982668488,3.777714307,op een zeker tijdstip...
32,50.982668216,3.777714659,op een zeker tijdstip...
33,50.982667931,3.777714935,op een zeker tijdstip...
34,50.982667714,3.777715199,op een zeker tijdstip...
35,50.982667477,3.777715519,op een zeker tijdstip...
36,50.982667173,3.777715819,op een zeker tijdstip...
37,50.982666840,3.777716218,op een zeker tijdstip...
38,50.982666496,3.777716745,op een zeker tijdstip...
39,50.982666291,3.777716982,op een zeker tijdstip...
40,50.982666086,3.777717253,op een zeker tijdstip...
41,50.982665730,3.777717782,op een zeker tijdstip...
42,50.982665282,3.777718117,op een zeker tijdstip...
43,50.982664898,3.777718329,op een zeker tijdstip...
44,50.982664663,3.777718678,op een zeker tijdstip...
45,50.982664426,3.777719053,op een zeker tijdstip...
46,50.982664229,3.777719285,op een zeker tijdstip...
47,50.982664002,3.777719520,op een zeker tijdstip...
