number,latitude,longitude,time
1,50.982674053,3.777707574,op een zeker tijdstip...
2,50.982671889,3.777710628,op een zeker tijdstip...
3,50.982669133,3.777713630,op een zeker tijdstip...
4,50.982666291,3.777716982,op een zeker tijdstip...
5,50.982663406,3.777720121,op een zeker tijdstip...
6,50.982660323,3.777723238,op een zeker tijdstip...
7,50.982657291,3.777726208,op een zeker tijdstip...
8,50.982654288,3.777729074,op een zeker tijdstip...
9,50.982651105,3.777732278,op een zeker tijdstip...
10,50.982648244,3.777735052,op een zeker tijdstip...
11,50.982645107,3.777737992,op een zeker tijdstip...
12,50.982641917,3.777740760,op een zeker tijdstip...
13,50.982638776,3.777743538,op een zeker tijdstip...
14,50.982635720,3.777746066,op een zeker tijdstip...
15,50.982632441,3.777748677,op een zeker tijdstip...
16,50.982629219,3.777751298,op een zeker tijdstip...
17,50.982625912,3.777753903,op een zeker tijdstip...
18,50.982622692,3.777756359,op een zeker tijdstip...
19,50.982619358,3.777758813,op een zeker tijdstip...
20,50.982615974,3.777761224,op een zeker tijdstip...
21,50.982612583,3.777763354,op een zeker tijdstip...
22,50.982609327,3.777765235,op een zeker tijdstip...
23,50.982605953,3.777767059,op een zeker tijdstip...
24,50.982602518,3.777769023,op een zeker tijdstip...
25,50.982598961,3.777770774,op een zeker tijdstip...
26,50.982595495,3.777772295,op een zeker tijdstip...
27,50.982592060,3.777773647,op een zeker tijdstip...
28,50.982588675,3.777774354,op een zeker tijdstip...
29,50.982585473,3.777775112,op een zeker tijdstip...
30,50.982581866,3.777776470,op een zeker tijdstip...
31,50.982578156,3.777777538,op een zeker tijdstip...
32,50.982574472,3.777778459,op een zeker tijdstip...
33,50.982570780,3.777779477,op een zeker tijdstip...
34,50.982567320,3.777780140,op een zeker tijdstip...
35,50.982563854,3.777780766,op een zeker tijdstip...
36,50.982560617,3.777781138,op een zeker tijdstip...
37,50.982557079,3.777781400,op een zeker tijdstip...
38,50.982553632,3.777781607,op een zeker tijdstip...
39,50.982549842,3.777781969,op een zeker tijdstip...
40,50.982546198,3.777782157,op een zeker tijdstip...
41,50.982542585,3.777782081,op een zeker tijdstip...
42,50.982539199,3.777781680,op een zeker tijdstip...
43,50.982535711,3.777781214,op een zeker tijdstip...
44,50.982532039,3.777780844,op een zeker tijdstip...
45,50.982528260,3.777780547,op een zeker tijdstip...
46,50.982524809,3.777780185,op een zeker tijdstip...
47,50.982521335,3.777779546,op een zeker tijdstip...
48,50.982517804,3.777778737,op een zeker tijdstip...
49,50.982514141,3.777777892,op een zeker tijdstip...
50,50.982511077,3.777776971,op een zeker tijdstip...
51,50.982509160,3.777777930,op een zeker tijdstip...
52,50.982508514,3.777780633,op een zeker tijdstip...
53,50.982507263,3.777784898,op een zeker tijdstip...
54,50.982505527,3.777789314,op een zeker tijdstip...
55,50.982503492,3.777794032,op een zeker tijdstip...
56,50.982501580,3.777798698,op een zeker tijdstip...
57,50.982499594,3.777803206,op een zeker tijdstip...
58,50.982497555,3.777807677,op een zeker tijdstip...
59,50.982495473,3.777811853,op een zeker tijdstip...
60,50.982493318,3.777816280,op een zeker tijdstip...
61,50.982491056,3.777821095,op een zeker tijdstip...
62,50.982488730,3.777825544,op een zeker tijdstip...
63,50.982486599,3.777829442,op een zeker tijdstip...
64,50.982484167,3.777833193,op een zeker tijdstip...
65,50.982481733,3.777837406,op een zeker tijdstip...
66,50.982479212,3.777841770,op een zeker tijdstip...
67,50.982476762,3.777845527,op een zeker tijdstip...
68,50.982474078,3.777849629,op een zeker tijdstip...
69,50.982471507,3.777853280,op een zeker tijdstip...
70,50.982468925,3.777857230,op een zeker tijdstip...
71,50.982466240,3.777860483,op een zeker tijdstip...
72,50.982463375,3.777864167,op een zeker tijdstip...
73,50.982460940,3.777866918,op een zeker tijdstip...
74,50.982460532,3.777870330,op een zeker tijdstip...
75,50.982459724,3.777875127,op een zeker tijdstip...
76,50.982458662,3.777879104,op een zeker tijdstip...
77,50.982456822,3.777881524,op een zeker tijdstip...
78,50.982454549,3.777885188,op een zeker tijdstip...
79,50.982453046,3.777889129,op een zeker tijdstip...
80,50.982451879,3.777893255,op een zeker tijdstip...
81,50.982450667,3.777898461,op een zeker tijdstip...
82,50.982449302,3.777901126,op een zeker tijdstip...
83,50.982447885,3.777903879,op een zeker tijdstip...
84,50.982446674,3.777907890,op een zeker tijdstip...
85,50.982445175,3.777911978,op een zeker tijdstip...
86,50.982443133,3.777914543,op een zeker tijdstip...
87,50.982440636,3.777917936,op een zeker tijdstip...
