number,latitude,longitude,time
1,50.9824501559,3.7779337071,-
2,50.9824502832,3.7779335528,-
3,50.9824504105,3.7779333986,-
4,50.9824505378,3.7779332443,-
5,50.9824506651,3.7779330901,-
6,50.9824507924,3.7779329358,-
7,50.9824509197,3.7779327816,-
8,50.982451047,3.7779326273,-
9,50.9824511743,3.7779324731,-
10,50.9824513016,3.7779323188,-
11,50.9824514289,3.7779321646,-
12,50.9824515562,3.7779320103,-
13,50.9824516835,3.7779318561,-
14,50.9824518108,3.7779317018,-
15,50.9824519381,3.7779315476,-
16,50.9824520654,3.7779313933,-
17,50.9824521927,3.7779312391,-
18,50.98245232,3.7779310848,-
19,50.9824524473,3.7779309306,-
20,50.9824525746,3.7779307763,-
21,50.9824527019,3.7779306221,-
22,50.9824528292,3.7779304678,-
23,50.9824529566,3.7779303135,-
24,50.9824530839,3.7779301593,-
25,50.9824532112,3.777930005,-
26,50.9824533385,3.7779298508,-
27,50.9824534658,3.7779296965,-
28,50.9824535931,3.7779295423,-
29,50.9824537204,3.777929388,-
30,50.9824538477,3.7779292338,-
31,50.982453975,3.7779290795,-
32,50.9824541023,3.7779289253,-
33,50.9824542296,3.777928771,-
34,50.9824543569,3.7779286168,-
35,50.9824544842,3.7779284625,-
36,50.9824546115,3.7779283083,-
37,50.9824547388,3.777928154,-
38,50.9824548661,3.7779279998,-
39,50.9824549934,3.7779278455,-
40,50.9824551207,3.7779276913,-
41,50.982455248,3.777927537,-
42,50.9824553753,3.7779273828,-
43,50.9824555026,3.7779272285,-
44,50.9824556299,3.7779270743,-
45,50.9824557572,3.77792692,-
46,50.9824558846,3.7779267658,-
47,50.9824560119,3.7779266115,-
48,50.9824561392,3.7779264573,-
49,50.9824562665,3.777926303,-
50,50.9824563938,3.7779261488,-
51,50.9824565211,3.7779259945,-
52,50.9824566484,3.7779258402,-
53,50.9824567757,3.777925686,-
54,50.982456903,3.7779255317,-
55,50.9824570303,3.7779253775,-
56,50.9824571576,3.7779252232,-
57,50.9824572849,3.777925069,-
58,50.9824574122,3.7779249147,-
59,50.9824575395,3.7779247605,-
60,50.9824576668,3.7779246062,-
61,50.9824577941,3.777924452,-
62,50.9824579214,3.7779242977,-
63,50.9824580487,3.7779241435,-
64,50.982458176,3.7779239892,-
65,50.9824583033,3.777923835,-
66,50.9824584306,3.7779236807,-
67,50.9824585579,3.7779235265,-
68,50.9824586852,3.7779233722,-
69,50.9824588126,3.777923218,-
70,50.9824589399,3.7779230637,-
71,50.9824590672,3.7779229095,-
72,50.9824591945,3.7779227552,-
73,50.9824593218,3.777922601,-
74,50.9824594491,3.7779224467,-
75,50.9824595764,3.7779222925,-
76,50.9824597037,3.7779221382,-
77,50.982459831,3.777921984,-
78,50.9824599583,3.7779218297,-
79,50.9824600856,3.7779216754,-
80,50.9824602129,3.7779215212,-
81,50.9824603402,3.7779213669,-
82,50.9824604675,3.7779212127,-
83,50.9824605948,3.7779210584,-
84,50.9824607221,3.7779209042,-
85,50.9824608494,3.7779207499,-
86,50.9824609767,3.7779205957,-
87,50.982461104,3.7779204414,-
88,50.9824612313,3.7779202872,-
89,50.9824613586,3.7779201329,-
90,50.9824614859,3.7779199787,-
91,50.9824616132,3.7779198244,-
92,50.9824617406,3.7779196702,-
93,50.9824618679,3.7779195159,-
94,50.9824619952,3.7779193617,-
95,50.9824621225,3.7779192074,-
96,50.9824622498,3.7779190532,-
97,50.9824623771,3.7779188989,-
98,50.9824625044,3.7779187447,-
99,50.9824626317,3.7779185904,-
100,50.982462759,3.7779184362,-
101,50.9824628863,3.7779182819,-
102,50.9824630136,3.7779181277,-
103,50.9824631409,3.7779179734,-
104,50.9824632682,3.7779178192,-
105,50.9824633955,3.7779176649,-
106,50.9824635228,3.7779175107,-
107,50.9824636501,3.7779173564,-
108,50.9824637774,3.7779172021,-
109,50.9824639047,3.7779170479,-
110,50.982464032,3.7779168936,-
111,50.9824641593,3.7779167394,-
112,50.9824642866,3.7779165851,-
113,50.9824644139,3.7779164309,-
114,50.9824645412,3.7779162766,-
115,50.9824646686,3.7779161224,-
116,50.9824647959,3.7779159681,-
117,50.9824649232,3.7779158139,-
118,50.9824650505,3.7779156596,-
119,50.9824651778,3.7779155054,-
120,50.9824653051,3.7779153511,-
121,50.9824654324,3.7779151969,-
122,50.9824655597,3.7779150426,-
123,50.982465687,3.7779148884,-
124,50.9824658143,3.7779147341,-
125,50.9824659416,3.7779145799,-
126,50.9824660689,3.7779144256,-
127,50.9824661962,3.7779142714,-
128,50.9824663235,3.7779141171,-
129,50.9824664508,3.7779139629,-
130,50.9824665781,3.7779138086,-
131,50.9824667054,3.7779136544,-
132,50.9824668327,3.7779135001,-
133,50.98246696,3.7779133459,-
134,50.9824670873,3.7779131916,-
135,50.9824672146,3.7779130374,-
136,50.9824673419,3.7779128831,-
137,50.9824674692,3.7779127288,-
138,50.9824675966,3.7779125746,-
139,50.9824677239,3.7779124203,-
140,50.9824678512,3.7779122661,-
141,50.9824679785,3.7779121118,-
142,50.9824681058,3.7779119576,-
143,50.9824682331,3.7779118033,-
144,50.9824683604,3.7779116491,-
145,50.9824684877,3.7779114948,-
146,50.982468615,3.7779113406,-
147,50.9824687423,3.7779111863,-
148,50.9824688696,3.7779110321,-
149,50.9824689969,3.7779108778,-
150,50.9824691242,3.7779107236,-
151,50.9824692515,3.7779105693,-
152,50.9824693788,3.7779104151,-
153,50.9824695061,3.7779102608,-
154,50.9824696334,3.7779101066,-
155,50.9824697607,3.7779099523,-
156,50.982469888,3.7779097981,-
157,50.9824700153,3.7779096438,-
158,50.9824701426,3.7779094896,-
159,50.9824702699,3.7779093353,-
160,50.9824703972,3.7779091811,-
161,50.9824705246,3.7779090268,-
162,50.9824706519,3.7779088726,-
163,50.9824707792,3.7779087183,-
164,50.9824709065,3.7779085641,-
165,50.9824710338,3.7779084098,-
166,50.9824711611,3.7779082555,-
167,50.9824712884,3.7779081013,-
168,50.9824714157,3.777907947,-
169,50.982471543,3.7779077928,-
170,50.9824716703,3.7779076385,-
171,50.9824717976,3.7779074843,-
172,50.9824719249,3.77790733,-
173,50.9824720522,3.7779071758,-
174,50.9824721795,3.7779070215,-
175,50.9824723068,3.7779068673,-
176,50.9824724341,3.777906713,-
177,50.9824725614,3.7779065588,-
178,50.9824726887,3.7779064045,-
179,50.982472816,3.7779062503,-
180,50.9824729433,3.777906096,-
181,50.9824730706,3.7779059418,-
182,50.9824731979,3.7779057875,-
183,50.9824733252,3.7779056333,-
184,50.9824734526,3.777905479,-
185,50.9824735799,3.7779053248,-
186,50.9824737072,3.7779051705,-
187,50.9824738345,3.7779050163,-
188,50.9824739618,3.777904862,-
189,50.9824740891,3.7779047078,-
190,50.9824742164,3.7779045535,-
191,50.9824743437,3.7779043993,-
192,50.982474471,3.777904245,-
193,50.9824745983,3.7779040907,-
194,50.9824747256,3.7779039365,-
195,50.9824748529,3.7779037822,-
196,50.9824749802,3.777903628,-
197,50.9824751075,3.7779034737,-
198,50.9824752348,3.7779033195,-
199,50.9824753621,3.7779031652,-
200,50.9824754894,3.777903011,-
201,50.9824756167,3.7779028567,-
202,50.982475744,3.7779027025,-
203,50.9824758713,3.7779025482,-
204,50.9824759986,3.777902394,-
205,50.9824761259,3.7779022397,-
206,50.9824762532,3.7779020855,-
207,50.9824763806,3.7779019312,-
208,50.9824765079,3.777901777,-
209,50.9824766352,3.7779016227,-
210,50.9824767625,3.7779014685,-
211,50.9824768898,3.7779013142,-
212,50.9824770171,3.77790116,-
213,50.9824771444,3.7779010057,-
214,50.9824772717,3.7779008515,-
215,50.982477399,3.7779006972,-
216,50.9824775263,3.777900543,-
217,50.9824776536,3.7779003887,-
218,50.9824777809,3.7779002345,-
219,50.9824779082,3.7779000802,-
220,50.9824780355,3.777899926,-
221,50.9824781628,3.7778997717,-
222,50.9824782901,3.7778996174,-
223,50.9824784174,3.7778994632,-
224,50.9824785447,3.7778993089,-
225,50.982478672,3.7778991547,-
226,50.9824787993,3.7778990004,-
227,50.9824789266,3.7778988462,-
228,50.9824790539,3.7778986919,-
229,50.9824791812,3.7778985377,-
230,50.9824793086,3.7778983834,-
231,50.9824794359,3.7778982292,-
232,50.9824795632,3.7778980749,-
233,50.9824796905,3.7778979207,-
234,50.9824798178,3.7778977664,-
235,50.9824799451,3.7778976122,-
236,50.9824800724,3.7778974579,-
237,50.9824801997,3.7778973037,-
238,50.982480327,3.7778971494,-
239,50.9824804543,3.7778969952,-
240,50.9824805816,3.7778968409,-
241,50.9824807089,3.7778966867,-
242,50.9824808362,3.7778965324,-
243,50.9824809635,3.7778963782,-
244,50.9824810908,3.7778962239,-
245,50.9824812181,3.7778960697,-
246,50.9824813454,3.7778959154,-
247,50.9824814727,3.7778957612,-
248,50.9824816,3.7778956069,-
249,50.9824817273,3.7778954527,-
250,50.9824818546,3.7778952984,-
251,50.9824819819,3.7778951441,-
252,50.9824821092,3.7778949899,-
253,50.9824822366,3.7778948356,-
254,50.9824823639,3.7778946814,-
255,50.9824824912,3.7778945271,-
256,50.9824826185,3.7778943729,-
257,50.9824827458,3.7778942186,-
258,50.9824828731,3.7778940644,-
259,50.9824830004,3.7778939101,-
260,50.9824831277,3.7778937559,-
261,50.982483255,3.7778936016,-
262,50.9824833823,3.7778934474,-
263,50.9824835096,3.7778932931,-
264,50.9824836369,3.7778931389,-
265,50.9824837642,3.7778929846,-
266,50.9824838915,3.7778928304,-
267,50.9824840188,3.7778926761,-
268,50.9824841461,3.7778925219,-
269,50.9824842734,3.7778923676,-
270,50.9824844007,3.7778922134,-
271,50.982484528,3.7778920591,-
272,50.9824846553,3.7778919049,-
